epoch,accuracy,loss,mse,val_accuracy,val_loss,val_mse
0,0.006472492124885321,65.25,0.009286588989198208,0.0,64.62109375,0.00943855568766594
1,0.0,30.687158584594727,0.0089797992259264,0.0,26.038005828857422,0.007863934151828289
2,0.0,60.77107620239258,0.009134566411376,0.0,60.33706283569336,0.009039466269314289
3,0.0,33.674530029296875,0.009605508297681808,0.0,40.13187789916992,0.010234232991933823
4,0.0013869625981897116,82.30648040771484,0.008756720460951328,0.0,121.3885498046875,0.008840136229991913
5,0.0,84.22533416748047,0.011107072234153748,0.0,39.25580596923828,0.006438520736992359
6,0.004623208660632372,248.0670928955078,0.008759121410548687,0.0,370.4695739746094,0.008835989981889725
7,0.0,239.8001708984375,0.009552119299769402,0.0,242.36135864257812,0.010052807629108429
8,0.0020804437808692455,1404.9752197265625,0.008957878686487675,0.0,267510.875,0.009250643663108349
9,0.0,1605.8270263671875,0.00853497814387083,0.0,85262.203125,0.008144126273691654
10,0.010402219370007515,10338.119140625,0.009045667015016079,0.01024590153247118,16853364.0,0.009778616018593311
11,0.0,11067.2724609375,0.010112364776432514,0.0,5039035.0,0.008390918374061584
12,0.009708737954497337,nan,nan,0.01024590153247118,nan,nan
13,0.0,nan,nan,0.0,nan,nan
14,0.009477577172219753,nan,nan,0.01024590153247118,nan,nan
15,0.0,nan,nan,0.0,nan,nan
16,0.009477577172219753,nan,nan,0.01024590153247118,nan,nan
17,0.0,nan,nan,0.0,nan,nan
18,0.009246417321264744,nan,nan,0.01024590153247118,nan,nan
19,0.125,nan,nan,0.0,nan,nan
20,0.009477577172219753,nan,nan,0.01024590153247118,nan,nan
21,0.0,nan,nan,0.0,nan,nan
22,0.009477577172219753,nan,nan,0.01024590153247118,nan,nan
23,0.0,nan,nan,0.0,nan,nan
24,0.009477577172219753,nan,nan,0.01024590153247118,nan,nan
25,0.0,nan,nan,0.0,nan,nan
26,0.009477577172219753,nan,nan,0.01024590153247118,nan,nan
27,0.0,nan,nan,0.0,nan,nan
28,0.009477577172219753,nan,nan,0.01024590153247118,nan,nan
29,0.0,nan,nan,0.0,nan,nan
30,0.009477577172219753,nan,nan,0.01024590153247118,nan,nan
31,0.0,nan,nan,0.0,nan,nan
32,0.009477577172219753,nan,nan,0.01024590153247118,nan,nan
33,0.0,nan,nan,0.0,nan,nan
34,0.009477577172219753,nan,nan,0.01024590153247118,nan,nan
35,0.0,nan,nan,0.0,nan,nan
36,0.009477577172219753,nan,nan,0.01024590153247118,nan,nan
37,0.0,nan,nan,0.0,nan,nan
38,0.009477577172219753,nan,nan,0.01024590153247118,nan,nan
39,0.0,nan,nan,0.0,nan,nan
40,0.009477577172219753,nan,nan,0.01024590153247118,nan,nan
41,0.0,nan,nan,0.0,nan,nan
42,0.009477577172219753,nan,nan,0.01024590153247118,nan,nan
43,0.0,nan,nan,0.0,nan,nan
44,0.009477577172219753,nan,nan,0.01024590153247118,nan,nan
