epoch,loss,mse,val_loss,val_mse
0,0.07939412444829941,0.04296119138598442,0.057549212127923965,0.021168692037463188
1,0.029124625027179718,0.021868711337447166,0.02376837283372879,0.0111569594591856
2,0.05789273604750633,0.021646635606884956,0.05563103035092354,0.019510962069034576
3,0.0301334448158741,0.024146830663084984,0.020030267536640167,0.0039411853067576885
4,0.05737532302737236,0.02136598899960518,0.05492430552840233,0.01907169818878174
5,0.03867601603269577,0.04149942845106125,0.019892895594239235,0.003934002481400967
6,0.056103792041540146,0.02033229172229767,0.05384526401758194,0.01825818419456482
7,0.03810175135731697,0.04061642661690712,0.05557084083557129,0.07555539906024933
8,0.05540502071380615,0.019976593554019928,0.053635988384485245,0.018312549218535423
9,0.035229600965976715,0.03513576462864876,0.021710818633437157,0.008098968304693699
10,0.055091675370931625,0.01971372216939926,0.0532170906662941,0.018154732882976532
11,0.024784304201602936,0.014506245963275433,0.023848960176110268,0.012636300176382065
12,0.05441444739699364,0.01950058899819851,0.05270949751138687,0.017903944477438927
13,0.0325821116566658,0.03035867214202881,0.02992912009358406,0.025053387507796288
14,0.05389189347624779,0.019115610048174858,0.05225740000605583,0.017705904319882393
15,0.020967619493603706,0.007383745163679123,0.021591294556856155,0.008631818927824497
16,0.053327977657318115,0.018879104405641556,0.05184892937541008,0.017550010234117508
17,0.026260733604431152,0.018222546204924583,0.025027912110090256,0.015757620334625244
18,0.053028713911771774,0.018807759508490562,0.051631566137075424,0.017585458233952522
19,0.020629171282052994,0.007212228141725063,0.020544709637761116,0.007044028956443071
