epoch,loss,mse,val_loss,val_mse
0,0.11455421149730682,0.07717946171760559,0.11594827473163605,0.07869913429021835
1,0.049771107733249664,0.06229308992624283,0.07379546016454697,0.11034251004457474
2,0.10617194324731827,0.06906407326459885,0.10855449736118317,0.07154468446969986
3,0.04557252675294876,0.05413525179028511,0.0532350018620491,0.06946083903312683
4,0.09859026223421097,0.06172914430499077,0.10331538319587708,0.06652621179819107
5,0.055778879672288895,0.07476858794689178,0.039461467415094376,0.0421343632042408
6,0.09180509299039841,0.05521927773952484,0.09575754404067993,0.05917436629533768
7,0.03170018643140793,0.02681717649102211,0.03766141086816788,0.03874020278453827
8,0.08643072098493576,0.0498550683259964,0.09041143953800201,0.054028164595365524
9,0.043217264115810394,0.050051264464855194,0.04203776270151138,0.04769280180335045
10,0.08124763518571854,0.04502220079302788,0.08748343586921692,0.05129415541887283
11,0.0379449799656868,0.039700672030448914,0.05754197761416435,0.07889522612094879
12,0.07638665288686752,0.040293898433446884,0.0843408852815628,0.048340994864702225
13,0.036812059581279755,0.03762422502040863,0.05346188694238663,0.07092443108558655
14,0.07322824746370316,0.037293434143066406,0.07641627639532089,0.0406070314347744
15,0.03111468441784382,0.026420116424560547,0.025226594880223274,0.014644450508058071
16,0.0702042505145073,0.034496091306209564,0.07621786743402481,0.04060105234384537
17,0.03483787924051285,0.034058939665555954,0.055101923644542694,0.07458760589361191
18,0.06695099920034409,0.03145983815193176,0.07350137829780579,0.03807655721902847
19,0.039947688579559326,0.04447054862976074,0.023938357830047607,0.012452458962798119
